Level,Arabic Text,Translated Text,Topic_ID,prompt_id,CEFR_level
Beginner,ماذا تفضل، الصيف أم الشتاء؟ ولماذا؟,"What do you prefer, summer or winter, and why?",12,30,A
Beginner,كيف تحتفل بعيد ميلادك؟,How do you celebrate your birthday?,1,31,A
Beginner,ما هي الرياضة التي تحب ممارستها؟ لماذا؟,What is your favorite sport? Why?,2,32,A
Beginner,تحدث عن رحلتك المدرسية الأخيرة.,Talk about your last school trip.,3,33,A
Beginner,ماذا تفعل قبل الذهاب إلى النوم؟,What do you do before going to bed?,16,34,A
Beginner,كيف تستعد ليوم الدراسة؟,How do you prepare for your school day?,3,35,A
Beginner,من هو الشخص الذي يلهمك ولماذا؟,Who is the person who inspires you and why?,10,36,A
Beginner,كيف تتخيل نفسك بعد عشر سنوات؟,How do you imagine yourself in ten years?,9,37,A
Beginner,كيف تستعد للمدرسة كل يوم؟,How do you prepare for school every day?,17,38,A
Beginner,ماذا تفعل إذا ربحت جائزة كبيرة؟,What do you do if you win a big prize?,9,39,A
Beginner,ماذا تفعل عندما تشعر بالملل؟,What do you do when you are bored?,16,40,A
Beginner,ماذا تعلمت من عائلتك؟,What have you learned from your family?,10,41,A
Beginner,ما هو الشيء الذي يجعلك سعيدًا؟,What makes you happy?,1,42,A
Beginner,تخيل أن لديك ساعة إضافية في اليوم. كيف ستقضيها؟,Imagine you have an extra hour in the day. How would you spend it?,9,43,A
Beginner,إذا كان لديك مبلغ من المال، كيف ستنفقه؟,"If you had a sum of money, how would you spend it?",17,44,A
Beginner,إذا استطعت أن تتعلم لغة جديدة، ما هي ولماذا؟,"If you could learn a new language, what would it be and why?",17,45,A
Beginner,إذا استطعت السفر لأي مكان، أين ستذهب ولماذا؟,"If you could travel anywhere, where would you go and why?",17,46,A
Beginner,إذا كنت بطلاً خارقاً، ماذا ستكون قوتك؟,"If you were a superhero, what would be your strength?",9,47,A
Intermediate,تحدث عن تأثير التكنولوجيا على حياتنا اليومية.,Talk about the impact of technology on our daily lives.,15,48,B1
Intermediate,تحدث عن تأثير التكنولوجيا على حياتنا اليومية.,Talk about the impact of technology on our daily lives.,15,48,B2
Intermediate,ما هي أهمية التعليم في حياتك؟,How important is education in your life?,7,49,B1
Intermediate,ما هي أهمية التعليم في حياتك؟,How important is education in your life?,7,49,B2
Intermediate,تحدث عن فوائد الرياضة للصحة.,Talk about the health benefits of sports.,8,50,B1
Intermediate,تحدث عن فوائد الرياضة للصحة.,Talk about the health benefits of sports.,8,50,B2
Intermediate,تحدث عن أهمية الصداقة في حياتك.,Talk about the importance of friendship in your life.,10,51,B1
Intermediate,تحدث عن أهمية الصداقة في حياتك.,Talk about the importance of friendship in your life.,10,51,B2
Intermediate,تحدث عن أهمية الحفاظ على البيئة.,Talk about the importance of preserving the environment.,12,52,B1
Intermediate,تحدث عن أهمية الحفاظ على البيئة.,Talk about the importance of preserving the environment.,12,52,B2
Intermediate,ما هو تأثير وسائل التواصل الاجتماعي على المجتمع؟,What is the impact of social media on society?,15,53,B1
Intermediate,ما هو تأثير وسائل التواصل الاجتماعي على المجتمع؟,What is the impact of social media on society?,15,53,B2
Intermediate,تحدث عن أهمية القراءة في حياتك.,Talk about the importance of reading in your life.,7,54,B1
Intermediate,تحدث عن أهمية القراءة في حياتك.,Talk about the importance of reading in your life.,7,54,B2
Intermediate,ما هي فوائد السفر؟,What are the benefits of travel?,14,55,B1
Intermediate,ما هي فوائد السفر؟,What are the benefits of travel?,14,55,B2
Intermediate,تحدث عن أهمية العمل التطوعي.,Talk about the importance of volunteer work.,6,56,B1
Intermediate,تحدث عن أهمية العمل التطوعي.,Talk about the importance of volunteer work.,6,56,B2
Intermediate,ما هو دور الفن في المجتمع؟,What is the role of art in society?,6,57,B1
Intermediate,ما هو دور الفن في المجتمع؟,What is the role of art in society?,6,57,B2
Intermediate,تحدث عن أهمية الصحة النفسية.,Talk about the importance of mental health.,8,58,B1
Intermediate,تحدث عن أهمية الصحة النفسية.,Talk about the importance of mental health.,8,58,B2
Intermediate,تحدث عن أهمية الوقت وكيفية إدارته.,Talk about the importance of time and how to manage it.,17,59,B1
Intermediate,تحدث عن أهمية الوقت وكيفية إدارته.,Talk about the importance of time and how to manage it.,17,59,B2
Intermediate,تحدث عن أهمية الحفاظ على التراث.,Talk about the importance of preserving heritage.,13,60,B1
Intermediate,تحدث عن أهمية الحفاظ على التراث.,Talk about the importance of preserving heritage.,13,60,B2
Intermediate,ما هو دور المرأة في المجتمع؟,What is the role of women in society?,6,61,B1
Intermediate,ما هو دور المرأة في المجتمع؟,What is the role of women in society?,6,61,B2
Intermediate,شرح مفهوم علمي تجده مثيرًا للاهتمام.,Explain a scientific concept that you find interesting.,7,62,B1
Intermediate,شرح مفهوم علمي تجده مثيرًا للاهتمام.,Explain a scientific concept that you find interesting.,7,62,B2
Intermediate,ما هي فوائد ومخاطر مواقع التواصل الاجتماعي؟,What are the benefits and risks of social media?,15,63,B1
Intermediate,ما هي فوائد ومخاطر مواقع التواصل الاجتماعي؟,What are the benefits and risks of social media?,15,63,B2
Intermediate,كيف غيرت التكنولوجيا حياتنا؟,How has technology changed our lives?,15,64,B1
Intermediate,كيف غيرت التكنولوجيا حياتنا؟,How has technology changed our lives?,15,64,B2
Intermediate,ما هو كتابك أو مؤلفك المفضل؟ ولماذا؟,What is your favorite book or author? And why?,7,65,B1
Intermediate,ما هو كتابك أو مؤلفك المفضل؟ ولماذا؟,What is your favorite book or author? And why?,7,65,B2
Intermediate,ما هو حدث تاريخي مهم في العالم العربي؟ ولماذا هو مهم؟,What is an important historical event in the Arab world? And why is it important?,4,66,B1
Intermediate,ما هو حدث تاريخي مهم في العالم العربي؟ ولماذا هو مهم؟,What is an important historical event in the Arab world? And why is it important?,4,66,B2
Intermediate,قارن بين ثقافتين عربيتين مختلفتين.,Compare two different Arab cultures.,4,67,B1
Intermediate,قارن بين ثقافتين عربيتين مختلفتين.,Compare two different Arab cultures.,4,67,B2
Intermediate,ناقش فوائد القراءة وأثرها على التفكير.,Discuss the benefits of reading and its impact on thinking.,7,68,B1
Intermediate,ناقش فوائد القراءة وأثرها على التفكير.,Discuss the benefits of reading and its impact on thinking.,7,68,B2
Intermediate,كيف تؤثر وسائل التواصل الاجتماعي على العلاقات الشخصية؟,How does social media affect personal relationships?,15,69,B1
Intermediate,كيف تؤثر وسائل التواصل الاجتماعي على العلاقات الشخصية؟,How does social media affect personal relationships?,15,69,B2
Intermediate,كيف يمكن للشباب المساهمة في تطوير المجتمع؟,How can young people contribute to developing society?,6,70,B1
Intermediate,كيف يمكن للشباب المساهمة في تطوير المجتمع؟,How can young people contribute to developing society?,6,70,B2
Intermediate,ناقش أهمية العلاقات الأسرية ودورها في حياة الفرد.,Discuss the importance of family relationships and their role in an individual’s life.,10,71,B1
Intermediate,ناقش أهمية العلاقات الأسرية ودورها في حياة الفرد.,Discuss the importance of family relationships and their role in an individual’s life.,10,71,B2
Intermediate,تحدث عن أهمية اللغة العربية في الحفاظ على الهوية.,Talk about the importance of the Arabic language in preserving identity.,6,72,B1
Intermediate,تحدث عن أهمية اللغة العربية في الحفاظ على الهوية.,Talk about the importance of the Arabic language in preserving identity.,6,72,B2
Intermediate,تحدث عن أهمية السفر في توسعة مدارك الإنسان.,Talk about the importance of travel in expanding one’s horizons.,14,73,B1
Intermediate,تحدث عن أهمية السفر في توسعة مدارك الإنسان.,Talk about the importance of travel in expanding one’s horizons.,14,73,B2
Intermediate,ما هي التحديات التي تواجهها المرأة في المجتمع الحديث؟,What are the challenges that women face in modern society?,6,74,B1
Intermediate,ما هي التحديات التي تواجهها المرأة في المجتمع الحديث؟,What are the challenges that women face in modern society?,6,74,B2
Intermediate,كيف يمكننا تحقيق التوازن بين العمل والحياة الشخصية؟,How can we achieve a balance between work and personal life?,17,75,B1
Intermediate,كيف يمكننا تحقيق التوازن بين العمل والحياة الشخصية؟,How can we achieve a balance between work and personal life?,17,75,B2
Intermediate,كيف يمكننا التعامل مع التوتر في الحياة اليومية؟,How can we deal with stress in daily life?,17,76,B1
Intermediate,كيف يمكننا التعامل مع التوتر في الحياة اليومية؟,How can we deal with stress in daily life?,17,76,B2
Intermediate,ناقش دور التكنولوجيا في تحسين الرعاية الصحية.,Discuss the role of technology in improving health care.,15,77,B1
Intermediate,ناقش دور التكنولوجيا في تحسين الرعاية الصحية.,Discuss the role of technology in improving health care.,15,77,B2
Intermediate,تحدث عن أهمية الماء وكيف يمكننا الحفاظ عليه.,Talk about the importance of water and how we can conserve it.,12,78,B1
Intermediate,تحدث عن أهمية الماء وكيف يمكننا الحفاظ عليه.,Talk about the importance of water and how we can conserve it.,12,78,B2
Intermediate,كيف يمكننا التعامل مع الضغوط النفسية؟,How can we deal with psychological stress?,8,79,B1
Intermediate,كيف يمكننا التعامل مع الضغوط النفسية؟,How can we deal with psychological stress?,8,79,B2
Intermediate,كيف يمكننا تعزيز المساواة بين الجنسين في مكان العمل؟,How can we promote gender equality in the workplace?,6,80,B1
Intermediate,كيف يمكننا تعزيز المساواة بين الجنسين في مكان العمل؟,How can we promote gender equality in the workplace?,6,80,B2
Intermediate,تحدث عن تأثير التقاليد الثقافية على الحياة اليومية في بلدك. كيف تُشكل هذه التقاليد القيم والمعتقدات لدى الأفراد؟,Discuss the impact of cultural traditions on daily life in your country. How do these traditions shape the values and beliefs of individuals?,13,81,B1
Intermediate,تحدث عن تأثير التقاليد الثقافية على الحياة اليومية في بلدك. كيف تُشكل هذه التقاليد القيم والمعتقدات لدى الأفراد؟,Discuss the impact of cultural traditions on daily life in your country. How do these traditions shape the values and beliefs of individuals?,13,81,B2
Intermediate,ما هي بعض العادات والتقاليد التي تعتبرها مميزة في ثقافتك؟ كيف تختلف هذه العادات من جيل إلى جيل؟,What are some customs and traditions that you consider unique to your culture? How do these customs differ from one generation to another?,13,82,B1
Intermediate,ما هي بعض العادات والتقاليد التي تعتبرها مميزة في ثقافتك؟ كيف تختلف هذه العادات من جيل إلى جيل؟,What are some customs and traditions that you consider unique to your culture? How do these customs differ from one generation to another?,13,82,B2
Intermediate,كيف تبدو يومياتك في عطلة نهاية الأسبوع؟ ما الأنشطة التي تستمتع بها عادةً ولماذا؟,"What does your weekend routine look like? What activities do you usually enjoy, and why?",16,83,B1
Intermediate,كيف تبدو يومياتك في عطلة نهاية الأسبوع؟ ما الأنشطة التي تستمتع بها عادةً ولماذا؟,"What does your weekend routine look like? What activities do you usually enjoy, and why?",16,83,B2
Intermediate,تحدث عن تجربة يوم عادي في حياتك. ما هي الأمور التي تقوم بها من الصباح حتى المساء؟,Talk about an ordinary day in your life. What activities do you engage in from morning until evening?,16,84,B1
Intermediate,تحدث عن تجربة يوم عادي في حياتك. ما هي الأمور التي تقوم بها من الصباح حتى المساء؟,Talk about an ordinary day in your life. What activities do you engage in from morning until evening?,16,84,B2
Intermediate,إذا كنت تستطيع أن تعيش في عالم خيالي، أي عالم ستختار ولماذا؟,"If you could live in a fantasy world, which one would you choose and why?",9,85,B1
Intermediate,إذا كنت تستطيع أن تعيش في عالم خيالي، أي عالم ستختار ولماذا؟,"If you could live in a fantasy world, which one would you choose and why?",9,85,B2
Intermediate,تخيل أنك تمتلك قوى سحرية. كيف ستستخدم هذه القوى في حياتك اليومية؟,Imagine you have magical powers. How would you use these powers in your daily life?,9,86,B1
Intermediate,تخيل أنك تمتلك قوى سحرية. كيف ستستخدم هذه القوى في حياتك اليومية؟,Imagine you have magical powers. How would you use these powers in your daily life?,9,86,B2
Intermediate,تحدث عن تجربة شخصية تفتخر بها. ماذا تعلمت من هذه التجربة؟,Talk about a personal experience you are proud of. What did you learn from this experience?,1,87,B1
Intermediate,تحدث عن تجربة شخصية تفتخر بها. ماذا تعلمت من هذه التجربة؟,Talk about a personal experience you are proud of. What did you learn from this experience?,1,87,B2
Intermediate,هل لديك موقف صعب واجهته في حياتك؟ كيف تعاملت معه؟,Do you have a difficult situation you faced in your life? How did you handle it?,1,88,B1
Intermediate,هل لديك موقف صعب واجهته في حياتك؟ كيف تعاملت معه؟,Do you have a difficult situation you faced in your life? How did you handle it?,1,88,B2
Intermediate,ما هي أهمية المشاركة في الانتخابات في بلدك؟ هل تعتقد أن الشباب يجب أن يشاركوا أكثر؟,What is the importance of participating in elections in your country? Do you think young people should participate more?,5,89,B1
Intermediate,ما هي أهمية المشاركة في الانتخابات في بلدك؟ هل تعتقد أن الشباب يجب أن يشاركوا أكثر؟,What is the importance of participating in elections in your country? Do you think young people should participate more?,5,89,B2
Intermediate,كيف تؤثر السياسات الحكومية على حياة المواطنين اليومية؟ قدم أمثلة على ذلك.,How do government policies affect the daily lives of citizens? Provide examples of this.,5,90,B1
Intermediate,كيف تؤثر السياسات الحكومية على حياة المواطنين اليومية؟ قدم أمثلة على ذلك.,How do government policies affect the daily lives of citizens? Provide examples of this.,5,90,B2
Intermediate,كيف تبدو حياتك اليومية في المدرسة؟ ما هي الأنشطة التي تستمتع بها أكثر؟,What does your daily life at school look like? What activities do you enjoy the most?,3,91,B1
Intermediate,كيف تبدو حياتك اليومية في المدرسة؟ ما هي الأنشطة التي تستمتع بها أكثر؟,What does your daily life at school look like? What activities do you enjoy the most?,3,91,B2
Intermediate,ما هو الشيء الذي تتعلمه في المدرسة ويهمك كثيرًا؟ لماذا تعتقد أنه مهم؟,What is something you learn in school that matters a lot to you? Why do you think it is important?,3,92,B1
Intermediate,ما هو الشيء الذي تتعلمه في المدرسة ويهمك كثيرًا؟ لماذا تعتقد أنه مهم؟,What is something you learn in school that matters a lot to you? Why do you think it is important?,3,92,B2
Intermediate,كيف تتخيل حياتك في المستقبل؟ ما هي الأهداف التي ترغب في تحقيقها؟,How do you envision your life in the future? What goals do you want to achieve?,11,93,B1
Intermediate,كيف تتخيل حياتك في المستقبل؟ ما هي الأهداف التي ترغب في تحقيقها؟,How do you envision your life in the future? What goals do you want to achieve?,11,93,B2
Intermediate,ما هي المهن التي تفكر فيها لمستقبلك؟ لماذا تعتبرها خيارات جيدة بالنسبة لك؟,What professions are you considering for your future? Why do you think they are good options for you?,11,94,B1
Intermediate,ما هي المهن التي تفكر فيها لمستقبلك؟ لماذا تعتبرها خيارات جيدة بالنسبة لك؟,What professions are you considering for your future? Why do you think they are good options for you?,11,94,B2
Intermediate,ما هي هوايتك المفضلة وكيف بدأت في ممارستها؟ لماذا تحبها؟,What is your favorite hobby and how did you start practicing it? Why do you enjoy it?,2,95,B1
Intermediate,ما هي هوايتك المفضلة وكيف بدأت في ممارستها؟ لماذا تحبها؟,What is your favorite hobby and how did you start practicing it? Why do you enjoy it?,2,95,B2
Intermediate,هل ترغب في تعلم هواية جديدة؟ ما هي ولماذا تهمك؟,Do you wish to learn a new hobby? What is it and why does it interest you?,2,96,B1
Intermediate,هل ترغب في تعلم هواية جديدة؟ ما هي ولماذا تهمك؟,Do you wish to learn a new hobby? What is it and why does it interest you?,2,96,B2
Intermediate,ناقش فوائد التعلم عبر الإنترنت.,Discuss the benefits of online learning.,15,97,B1
Intermediate,ناقش فوائد التعلم عبر الإنترنت.,Discuss the benefits of online learning.,15,97,B2
Intermediate,ناقش فوائد وأضرار الإنترنت.,Discuss the benefits and harms of the Internet.,15,98,B1
Intermediate,ناقش فوائد وأضرار الإنترنت.,Discuss the benefits and harms of the Internet.,15,98,B2
Intermediate,كيف يمكنك تحقيق النجاح في الحياة؟,How can you achieve success in life?,17,99,B1
Intermediate,كيف يمكنك تحقيق النجاح في الحياة؟,How can you achieve success in life?,17,99,B2
Intermediate,كيف نطور نظام التعليم في العالم العربي؟,How can we develop the education system in the Arab world?,7,100,B1
Intermediate,كيف نطور نظام التعليم في العالم العربي؟,How can we develop the education system in the Arab world?,7,100,B2
Advanced,تحدث عن تأثير التكنولوجيا على سوق العمل.,Talk about the impact of technology on the labor market.,15,101,C1
Advanced,تحدث عن تأثير التكنولوجيا على سوق العمل.,Talk about the impact of technology on the labor market.,15,101,C2
Advanced,ما هي أهمية البحث العلمي في تطوير المجتمع؟,What is the importance of scientific research in developing society?,7,102,C1
Advanced,ما هي أهمية البحث العلمي في تطوير المجتمع؟,What is the importance of scientific research in developing society?,7,102,C2
Advanced,تحدث عن دور الحكومات في حماية البيئة.,Talk about the role of governments in protecting the environment.,12,103,C1
Advanced,تحدث عن دور الحكومات في حماية البيئة.,Talk about the role of governments in protecting the environment.,12,103,C2
Advanced,ما هو تأثير العولمة على الثقافات المحلية,What is the impact of globalization on local cultures?,6,104,C1
Advanced,ما هو تأثير العولمة على الثقافات المحلية,What is the impact of globalization on local cultures?,6,104,C2
Advanced,تحدث عن دور التعليم في مكافحة الفقر.,Talk about the role of education in combating poverty.,7,105,C1
Advanced,تحدث عن دور التعليم في مكافحة الفقر.,Talk about the role of education in combating poverty.,7,105,C2
Advanced,ما هو تأثير الإعلام على السياسة؟,What is the impact of the media on politics?,5,106,C1
Advanced,ما هو تأثير الإعلام على السياسة؟,What is the impact of the media on politics?,5,106,C2
Advanced,تحدث عن دور الشباب في التغيير الاجتماعي.,Talk about the role of youth in social change.,6,107,C1
Advanced,تحدث عن دور الشباب في التغيير الاجتماعي.,Talk about the role of youth in social change.,6,107,C2
Advanced,ما هو تأثير التكنولوجيا على الخصوصية؟,What is the impact of technology on privacy?,15,108,C1
Advanced,ما هو تأثير التكنولوجيا على الخصوصية؟,What is the impact of technology on privacy?,15,108,C2
Advanced,تحدث عن دور الفن في التعبير عن القضايا الاجتماعية.,Talk about the role of art in expressing social issues.,6,109,C1
Advanced,تحدث عن دور الفن في التعبير عن القضايا الاجتماعية.,Talk about the role of art in expressing social issues.,6,109,C2
Advanced,تحدث عن أهمية التعليم في بناء المجتمع.,Talk about the importance of education in building society.,7,110,C1
Advanced,تحدث عن أهمية التعليم في بناء المجتمع.,Talk about the importance of education in building society.,7,110,C2
Advanced,ما هي التحديات التي تواجه الديمقراطية في العالم؟,What are the challenges facing democracy in the world?,5,111,C1
Advanced,ما هي التحديات التي تواجه الديمقراطية في العالم؟,What are the challenges facing democracy in the world?,5,111,C2
Advanced,تحدث عن دور الشباب في بناء المستقبل.,Talk about the role of youth in building the future.,6,112,C1
Advanced,تحدث عن دور الشباب في بناء المستقبل.,Talk about the role of youth in building the future.,6,112,C2
Advanced,ما هو تأثير التكنولوجيا على التعليم؟,What is the impact of technology on education?,15,113,C1
Advanced,ما هو تأثير التكنولوجيا على التعليم؟,What is the impact of technology on education?,15,113,C2
Advanced,ما رأيك في دور الحكومة في المجتمع؟,What do you think about the role of government in society?,5,114,C1
Advanced,ما رأيك في دور الحكومة في المجتمع؟,What do you think about the role of government in society?,5,114,C2
Advanced,ناقش تأثير الذكاء الاصطناعي على سوق العمل العالمي.,Discuss the impact of artificial intelligence on the global labor market.,15,115,C1
Advanced,ناقش تأثير الذكاء الاصطناعي على سوق العمل العالمي.,Discuss the impact of artificial intelligence on the global labor market.,15,115,C2
Advanced,ما هي التحديات التي يواجهها العالم العربي اليوم؟,What are the challenges facing the Arab world today?,5,116,C1
Advanced,ما هي التحديات التي يواجهها العالم العربي اليوم؟,What are the challenges facing the Arab world today?,5,116,C2
Advanced,تحدث عن أهمية التعليم الرقمي في عصرنا الحالي.,Talk about the importance of digital education in our current era.,7,117,C1
Advanced,تحدث عن أهمية التعليم الرقمي في عصرنا الحالي.,Talk about the importance of digital education in our current era.,7,117,C2
Advanced,ما هي الحلول الممكنة لمواجهة مشكلة البطالة في العالم العربي؟,What are the possible solutions to address the problem of unemployment in the Arab world?,6,118,C1
Advanced,ما هي الحلول الممكنة لمواجهة مشكلة البطالة في العالم العربي؟,What are the possible solutions to address the problem of unemployment in the Arab world?,6,118,C2
Advanced,كيف تؤثر الحروب والنزاعات على التطور العلمي والتكنولوجي؟,How do wars and conflicts affect scientific and technological development?,5,119,C1
Advanced,كيف تؤثر الحروب والنزاعات على التطور العلمي والتكنولوجي؟,How do wars and conflicts affect scientific and technological development?,5,119,C2
Advanced,ناقش دور الأديان في تعزيز السلام العالمي.,Discuss the role of religions in promoting world peace.,5,120,C1
Advanced,ناقش دور الأديان في تعزيز السلام العالمي.,Discuss the role of religions in promoting world peace.,5,120,C2
Advanced,كيف يمكننا تحسين نظام الرعاية الصحية في الدول النامية؟,How can we improve the health care system in developing countries?,8,121,C1
Advanced,كيف يمكننا تحسين نظام الرعاية الصحية في الدول النامية؟,How can we improve the health care system in developing countries?,8,121,C2
Advanced,كيف يمكن للعلوم الإنسانية أن تسهم في حل الأزمات العالمية؟,How can the humanities contribute to solving global crises?,7,122,C1
Advanced,كيف يمكن للعلوم الإنسانية أن تسهم في حل الأزمات العالمية؟,How can the humanities contribute to solving global crises?,7,122,C2
Advanced,تحدث عن أهمية الابتكار في الصناعة والتعليم.,Talk about the importance of innovation in industry and education.,7,123,C1
Advanced,تحدث عن أهمية الابتكار في الصناعة والتعليم.,Talk about the importance of innovation in industry and education.,7,123,C2
Advanced,ما هو أثر الإنترنت على الخصوصية وحقوق الإنسان؟,What is the impact of the Internet on privacy and human rights?,15,124,C1
Advanced,ما هو أثر الإنترنت على الخصوصية وحقوق الإنسان؟,What is the impact of the Internet on privacy and human rights?,15,124,C2
Advanced,كيف يمكن للتعليم أن يسهم في مكافحة التطرف؟,How can education help combat extremism?,7,125,C1
Advanced,كيف يمكن للتعليم أن يسهم في مكافحة التطرف؟,How can education help combat extremism?,7,125,C2
Advanced,كيف يمكن للذكاء الاصطناعي أن يغير مستقبل العمل؟,How can artificial intelligence change the future of work?,15,126,C1
Advanced,كيف يمكن للذكاء الاصطناعي أن يغير مستقبل العمل؟,How can artificial intelligence change the future of work?,15,126,C2
Advanced,تحدث عن أهمية الحرية الأكاديمية في الجامعات.,Talk about the importance of academic freedom in universities.,7,127,C1
Advanced,تحدث عن أهمية الحرية الأكاديمية في الجامعات.,Talk about the importance of academic freedom in universities.,7,127,C2
Advanced,ناقش التحديات التي تواجه الصحافة الحرة في العصر الرقمي.,Discuss the challenges facing a free press in the digital age.,5,128,C1
Advanced,ناقش التحديات التي تواجه الصحافة الحرة في العصر الرقمي.,Discuss the challenges facing a free press in the digital age.,5,128,C2
Advanced,كيف يمكننا تقليل الفجوة بين الطبقات الاجتماعية؟,How can we bridge the gap between social classes?,6,129,C1
Advanced,كيف يمكننا تقليل الفجوة بين الطبقات الاجتماعية؟,How can we bridge the gap between social classes?,6,129,C2
Advanced,تحدث عن دور العائلة في تطوير المجتمع,Talk about the role of Family in country development.,10,130,C1
Advanced,تحدث عن دور العائلة في تطوير المجتمع,Talk about the role of Family in country development.,10,130,C2
Advanced,قل لي من تصاحب، أقل لك من أنت،  من واقع خبدرتك تحدث عن تأثير الصداقة في حياة الفرد,"Tell me who you hang out with, I'll tell you who you are. From your experience, talk about the impact of friendship on a person's life.",10,131,C1
Advanced,قل لي من تصاحب، أقل لك من أنت،  من واقع خبدرتك تحدث عن تأثير الصداقة في حياة الفرد,"Tell me who you hang out with, I'll tell you who you are. From your experience, talk about the impact of friendship on a person's life.",10,131,C2
Advanced,تحدث عن دولتين زرتهم من قارتين مختلفتين وقارن بينهم,Talk about two countries you have visited  from two different continents and compare them.,14,132,C1
Advanced,تحدث عن دولتين زرتهم من قارتين مختلفتين وقارن بينهم,Talk about two countries you have visited  from two different continents and compare them.,14,132,C2
Advanced,مناقشة تأثير تغير المناخ على العالم العربي.,Discussing the impact of climate change on the Arab world. ,12,133,C1
Advanced,مناقشة تأثير تغير المناخ على العالم العربي.,Discussing the impact of climate change on the Arab world. ,12,133,C2
Advanced,ما الذي يمكن فعله لحماية البيئة؟,What can be done to protect the environment?,12,134,C1
Advanced,ما الذي يمكن فعله لحماية البيئة؟,What can be done to protect the environment?,12,134,C2
Advanced,ناقش تأثير العولمة على الهوية الثقافية في العالم العربي. هل تعتقد أن العولمة لها تأثير سلبي أم إيجابي على التقاليد والعادات المحلية؟ قدم أمثلة لدعم رأيك,Discuss the impact of globalization on cultural identity in the Arab world. Do you think globalization has a negative or positive impact on local traditions and customs? Provide examples to support your opinion.,13,135,C1
Advanced,ناقش تأثير العولمة على الهوية الثقافية في العالم العربي. هل تعتقد أن العولمة لها تأثير سلبي أم إيجابي على التقاليد والعادات المحلية؟ قدم أمثلة لدعم رأيك,Discuss the impact of globalization on cultural identity in the Arab world. Do you think globalization has a negative or positive impact on local traditions and customs? Provide examples to support your opinion.,13,135,C2
