essay_id,sentence,dep_---,dep_IDF,dep_MOD,dep_OBJ,dep_PRD,dep_SBJ,dep_TMZ,dep_TPC,pos_ADJ,pos_ADP,pos_ADV,pos_AUX,pos_CCONJ,pos_DET,pos_INTJ,pos_NOUN,pos_NUM,pos_PART,pos_PRON,pos_PROPN,pos_PUNCT,pos_SCONJ,pos_VERB,pos_X,depPOS_---(ADJ),depPOS_---(ADP),depPOS_---(ADV),depPOS_---(CCONJ),depPOS_---(DET),depPOS_---(NOUN),depPOS_---(PRON),depPOS_---(PROPN),depPOS_---(PUNCT),depPOS_---(SCONJ),depPOS_---(VERB),depPOS_IDF(ADJ),depPOS_IDF(ADP),depPOS_IDF(ADV),depPOS_IDF(DET),depPOS_IDF(NOUN),depPOS_IDF(NUM),depPOS_IDF(PRON),depPOS_IDF(PROPN),depPOS_IDF(SCONJ),depPOS_IDF(VERB),depPOS_MOD(ADJ),depPOS_MOD(ADP),depPOS_MOD(ADV),depPOS_MOD(AUX),depPOS_MOD(CCONJ),depPOS_MOD(DET),depPOS_MOD(INTJ),depPOS_MOD(NOUN),depPOS_MOD(NUM),depPOS_MOD(PART),depPOS_MOD(PRON),depPOS_MOD(PROPN),depPOS_MOD(PUNCT),depPOS_MOD(SCONJ),depPOS_MOD(VERB),depPOS_MOD(X),depPOS_OBJ(ADJ),depPOS_OBJ(ADP),depPOS_OBJ(ADV),depPOS_OBJ(CCONJ),depPOS_OBJ(DET),depPOS_OBJ(INTJ),depPOS_OBJ(NOUN),depPOS_OBJ(NUM),depPOS_OBJ(PART),depPOS_OBJ(PRON),depPOS_OBJ(PROPN),depPOS_OBJ(SCONJ),depPOS_OBJ(VERB),depPOS_PRD(ADJ),depPOS_PRD(ADP),depPOS_PRD(ADV),depPOS_PRD(CCONJ),depPOS_PRD(NOUN),depPOS_PRD(NUM),depPOS_PRD(PRON),depPOS_PRD(PROPN),depPOS_PRD(SCONJ),depPOS_PRD(VERB),depPOS_PRD(X),depPOS_SBJ(ADJ),depPOS_SBJ(DET),depPOS_SBJ(NOUN),depPOS_SBJ(NUM),depPOS_SBJ(PRON),depPOS_SBJ(PROPN),depPOS_SBJ(SCONJ),depPOS_SBJ(VERB),depPOS_TMZ(NOUN),depPOS_TPC(ADJ),depPOS_TPC(ADP),depPOS_TPC(DET),depPOS_TPC(NOUN),depPOS_TPC(PRON),depPOS_TPC(PROPN)
AR-030-268469-11,أصبحت تميل إلى نوع من أنواع الإدمان الذي يجب الحذر من +ه .,1,1,6,3,1,1,0,0,0,3,0,0,0,0,0,4,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AR-030-386369-1,"تعد وسائل التواصل الاجتماعي من أكبر المؤثرات على الفرد في مجتمع +نا الحالي , و+ ذلك ب+ سبب إدمان الفرد على استخدام +ها ب+ شكل متواصل و+ يومي .",1,6,12,8,0,2,0,0,6,6,0,0,2,1,0,9,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,2,0,0,0,3,5,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AR-030-386369-2,تتنوع المؤثرات - من +ها الإيجابية و+ السلبية - على الأفراد في دولة +نا .,1,1,7,4,0,2,0,0,3,3,0,0,1,0,0,2,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR-030-386369-3,الإيجابية من +ها سرعة التواصل و+ سهولة +ه و+ تنوع +ه ك+ الرسائل الفورية و+ الصوتية و+ التواصل المرئي و+ الصوتي .,1,3,9,7,0,1,0,1,5,2,0,0,5,0,0,6,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
AR-030-386369-4,أيضا يمكن ل+ الفائدة أن تشمل الناس عامة في وظائف +هم من خلال تمكن +هم من استخدام البريد الإلكتروني و+ الاجتماعات من خلال هذه الوسائل .,1,5,11,8,0,1,0,0,2,5,1,0,1,1,0,10,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,2,5,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AR-030-386369-5,"و+ من السلبيات التي تنتج من وسائل التواصل الاجتماعي الابتزاز الإلكتروني و+ هي ظاهرة منتشرة في الآونة الأخيرة , و+ غير ذلك إضاعة الوقت الذي يمكن استثمار +ه ب+ فائدة أخرى .",1,4,17,7,0,3,0,0,5,4,0,0,3,1,0,11,0,0,4,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,5,3,0,0,3,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
AR-030-386369-6,و+ من أمثلة إضاعة الوقت قضاء وقت العمل على وسائل التواصل الاجتماعي ل+ إضاعة +ه .,1,6,5,3,0,1,0,0,1,3,0,0,1,0,0,9,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AR-030-386369-7,و+ من مؤثرات الوسائل على المجتمع أن تنتشر الإشاعات التي تولد و+ تزيد من المشاكل و+ من +ها المشاكل الأسرية و+ الاجتماعية و+ السياسية و+ غير +ها .,1,2,12,10,0,3,0,0,4,4,0,0,6,0,0,6,0,0,3,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,6,0,0,0,0,0,1,0,1,0,1,0,3,1,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
AR-030-386369-8,و+ على سبيل التأثير الإيجابي من الممكن أن تنتشر التوعية في بعض المجالات على المجتمع من خلال وسائل التواصل .,1,4,7,6,0,2,0,0,2,5,0,0,1,0,0,9,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
AR-030-386369-9,أيضا من الممكن أن تنتشر بعض الثقافات الإيجابية على المجتمع من خلال وسائل التواصل ك+ القراءة .,1,3,6,5,0,2,0,0,2,4,1,0,0,0,0,7,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
AR-030-81027-1,قام انتشار وسائل التواصل الاجتماعي ب+ شكل كبير و+ هذا أثر على المجتمع ب+ شكل إيجابي و+ سلبي .,1,2,9,5,0,2,0,0,4,3,0,0,2,1,0,6,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AR-030-81027-2,"من الآثار الإيجابية ل+ التواصل الاجتماعي التواصل مع الناس ب+ شكل أسهل , و+ من الآثار السلبية انتشار الكراهية و+ الفساد بين الناس .",1,3,12,6,0,2,0,0,4,4,0,0,2,0,0,12,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,2,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AR-030-81757-1,وسائل التواصل الاجتماعي ل+ قد تطورت وسائل المعرفة و+ التقدم و+ اجتاحت وسائل التواصل الاجتماعي منازل +نا و+ حياة +نا و+ أيضا مائدة طعام +نا دون استئذان .,1,8,11,5,0,2,0,1,2,0,1,1,4,0,0,13,0,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,3,0,0,0,2,0,1,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
AR-030-81757-2,"ف+ ل+ الأسف أصبحت فردا من العائلة , فردا غير مرحب ب +ه , و+ لكن +ه متواجد رغما عن +نا , ف+ قد أصبح مسيطرا على خلايا أدمغة +نا و+ حواس +نا .",1,4,18,7,2,2,0,0,1,5,0,1,5,0,0,11,0,0,5,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,5,0,1,5,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AR-030-81757-3,"لا أنكر أن هذا الفرد قرب ل +نا البعيد , و+ لكن مع ذلك أبعد القريب , و+ أصبحت الأخبار ب+ وجود +ه تصل +نا بعد ثوان من حدوث +ها حتى أن كانت من مشرق الأرض أو مغرب +ها , ف+ هو يجمع العالم كل +ه في شاشة لامعة صغيرة .",1,7,23,14,3,3,0,0,3,5,0,0,5,2,0,15,0,2,7,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,4,0,0,0,2,4,0,0,5,1,0,4,0,2,0,0,4,1,0,0,1,0,0,0,0,0,7,0,0,2,0,1,3,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
AR-030-81757-4,"و+ لكن ل+ نتحدث ب+ كل أريحية و+ صراحة , مواقع التواصل الاجتماعي أصبحت عبارة عن أداة ذات حدين قد تدمر حياة +ك أو حياة أي شخص آخر ب+ كبسة زر , و+ قد تشرق حياة أحد +هم من ذات كبسة الزر تلك .",1,11,20,9,1,2,0,0,2,4,0,2,5,1,0,19,0,1,2,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,2,1,0,0,2,4,0,2,5,1,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AR-030-81757-5,و+ لكن هذا ب+ الطبع يعتمد على +نا نحن ك+ أفراد على مدى سيطرة تلك الشاشات على +نا .,1,2,9,5,1,1,0,0,0,5,0,0,2,2,0,5,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AR-030-81757-6,"على +نا عدم الاستسلام و+ العيش في عالم قد يزول ب+ مجرد أن نطفئ الأنترنت , على +نا مزاولة العيش في حياة +نا الواقعية .",1,4,10,8,0,2,0,0,1,5,0,1,1,0,0,8,0,0,3,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,4,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AR-030-81757-7,و+ مع ذلك يجب على +نا مواكبة التطور و+ لكن ليس ل+ الحد الذي يجعل +نا ننسى من نحن أو من حول +نا .,1,3,12,6,0,2,0,0,0,3,0,0,4,1,0,5,0,1,6,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,4,0,0,2,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AR-030-81757-8,"و+ ب+ الأخير ل+ كل شيء مضار و+ منافع و+ على +نا توخي الحذر و+ توسيع مدارك أفكار +نا و+ تحمل مسؤولية أفعال +نا , ف+ هي س+ تؤثر على +نا و+ على عوائل +نا و+ مجتمع +نا .",1,10,13,12,0,3,0,0,0,5,0,1,8,0,0,15,0,0,7,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,2,0,1,8,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
AR-030-81757-9,"ف+ لكم أن تتخيلوا مجتمعا كاملا يقتات في إحدى هذه الشاشات و+ يحيا بين كبسة زر و+ أخرى و+ الإشاعات تجتاح +ه , ب+ الطبع س+ يدمر من أساس +ه حتى آخر +ه .",1,5,16,10,0,2,0,0,2,4,0,1,3,1,0,10,0,1,3,1,2,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,1,4,0,1,3,1,0,1,0,1,0,0,2,0,2,0,1,0,0,0,0,0,5,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
AR-030-81757-10,و+ أخيرا مثل +ما قلت على +نا توخي الحذر دائما و+ آبدا .,1,1,7,4,0,0,0,0,3,1,0,0,2,0,0,3,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR-030-83625-1,من أشهر وسائل الاتصال ب+ الآخرين هي الاجتماعية .,1,2,2,2,0,1,0,1,3,2,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
AR-030-85891-1,التواصل الاجتماعي من أخطر الأشياء ل+ أن +ه يبعد +نا عن والدي +نا و+ لا يعطي +نا الوقت الكافي ل+ الجلوس مع +هم و+ ذلك يؤثر في عقول +نا و+ تصرفات +نا ب+ شكل سلبي و+ ليس جيدا أبدا .,1,5,17,12,2,3,0,0,5,6,0,0,4,1,0,10,0,1,7,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,3,5,0,0,4,0,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,6,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
AR-030-85891-2,ل+ ذلك يجب على +نا أن لا نستخدم +ه كثيرا و+ ننتبه ل +ه .,1,0,7,6,0,1,0,0,1,3,0,0,1,1,0,0,0,1,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AR-030-87953-1,"يوجد الكثير من الطرق ل+ كي نعزز ثقافة التسامح في المجتمع و+ من الممكن تطوير +ها و+ نشر +ها إلى دول أخرى ل+ كي نحصل على انطباع جيد من الزوار و+ الناس عامة , و+ من +ها نشر أوراق توعية تدل على أهمية عزيمة +ها و+ مدى تقدير +ها ل+ الشعب .",1,9,20,19,0,3,0,0,5,11,0,0,5,0,0,18,0,0,5,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,4,0,0,0,3,9,0,0,5,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,11,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AR-030-87953-2,"و+ من الممكن إلقاء محاضرات في المدارس ل+ الكبار و+ الصغار ب+ طريقة مبتكرة ل+ كي لا يشعروا ب+ الملل , و+ من الممكن أن يستفيدوا من هذا الشيء .",1,1,14,12,0,2,0,0,3,8,0,0,3,1,0,8,0,1,0,0,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,3,1,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
AR-030-87953-3,"التطور جدا مهم في دولة الإمارات العربية المتحدة , حيث أن +ني شهدت أن دولة الإمارات العربية المتحدة هي الأكثر تطويرا في العالم ب+ أكمل +ه و+ مع مرور الوقت سوف يزداد هذا التطور و+ سوف تتطور في الحضارة و+ سوف يشهد الشعب أن هذه دولة متكاملة و+ دولة مستعمرة , حيث إن الشيخ زايد - رحم +ه الله - و+ جميع حكام دولة الإمارات حرصوا على التطوير الحضاري أكثر من كل شيء , ف+ يجب أن نشعر ب+ الأمان و+ الانتماء ل+ هذه النعمة التي أعطوا +نا إيا +ها .",5,10,44,20,3,9,0,0,9,8,2,3,6,3,0,30,0,2,7,2,6,4,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,2,8,2,3,6,2,0,5,0,2,3,1,6,1,3,0,1,0,0,0,0,0,10,0,0,2,0,2,5,1,0,0,0,1,0,0,0,0,1,0,0,1,5,0,1,1,1,0,0,0,0,0,0,0,0
