ID,Document_ID,Sentence
AR-030-81757-3,AR-030-81757,لا أنكر أن هذا الفرد قرب لنا البعيد، ولكن مع ذلك أبعد القريب، وأصبحت الأخبار بوجوده تصلنا بعد ثوان من حدوثها حتى إن كانت من مشرق الأرض أو مغربها، فهو يجمع العالم كله في شاشة لامعة صغيرة.
AR-030-81757-4,AR-030-81757,ولكن لنتحدث بكل أريحية وصراحة، مواقع التواصل الاجتماعي أصبحت عبارة عن أداة ذات حدين قد تدمر حياتك أو حياة أي شخص آخر بكبسة زر، وقد تشرق حياة أحدهم من ذات كبسة الزر تلك.
AR-030-81757-5,AR-030-81757,ولكن هذا بالطبع يعتمد علينا نحن كأفراد على مدى سيطرة تلك الشاشات علينا.
AR-030-81757-6,AR-030-81757,علينا عدم الاستسلام والعيش في عالم قد يزول بمجرد أن نطفئ الإنترنت، علينا مزاولة العيش في حياتنا الواقعية.
AR-030-81757-7,AR-030-81757,ومع ذلك يجب علينا مواكبة التطور ولكن ليس للحد الذي يجعلنا ننسى من نحن أو من حولنا.
AR-030-81757-8,AR-030-81757,وبالأخير لكل شيء مضار ومنافع وعلينا توخي الحذر وتوسيع مدارك أفكارنا وتحمل مسؤولية أفعالنا، فهي ستؤثر علينا وعلى عوائلنا ومجتمعنا.
AR-030-81757-9,AR-030-81757,فلكم أن تتخيلوا مجتمعا كاملا يقتات في إحدى هذه الشاشات ويحيا بين كبسة زر وأخرى والإشاعات تجتاحه، بالطبع سيدمر من أساسه حتى آخره.
AR-030-81757-10,AR-030-81757,وأخيرا مثلما قلت علينا توخي الحذر دائما وأبدا.
AR-030-83625-1,AR-030-83625,من أشهر وسائل الاتصال بالآخرين هي الاجتماعية.
AR-030-85891-1,AR-030-85891,التواصل الاجتماعي من أخطر الأشياء لأنه يبعدنا عن والدينا ولا يعطينا الوقت الكافي للجلوس معهم وذلك يؤثر في عقولنا وتصرفاتنا بشكل سلبي وليس جيدا أبدا.
AR-030-85891-2,AR-030-85891,لذلك يجب علينا أن لا نستخدمه كثيرا وننتبه له.
AR-030-87953-1,AR-030-87953,يوجد الكثير من الطرق لكي نعزز ثقافة التسامح في المجتمع ومن الممكن تطويرها ونشرها إلى دول أخرى لكي نحصل على انطباع جيد من الزوار والناس عامة، ومنها نشر أوراق توعية تدل على أهمية عزيمتها ومدى تقديرها للشعب.
AR-030-87953-2,AR-030-87953,ومن الممكن إلقاء محاضرات في المدارس للكبار والصغار بطريقة مبتكرة لكي لا يشعروا بالملل، ومن الممكن أن يستفيدوا من هذا الشيء.
AR-030-87953-3,AR-030-87953,التطور جدا مهم في دولة الإمارات العربية المتحدة، حيث إني شهدت أن دولة الإمارات العربية المتحدة هي الأكثر تطويرا في العالم بأكمله ومع مرور الوقت سوف يزداد هذا التطور وسوف تتطور في الحضارة وسوف يشهد الشعب أن هذه دولة متكاملة ودولة مستعمرة، حيث إن الشيخ زايد - رحمه الله - وجميع حكام دولة الإمارات حرصوا على التطوير الحضاري أكثر من كل شيء، فيجب أن نشعر بالأمان والانتماء لهذه النعمة التي أعطونا إياها.
AR-030-87953-4,AR-030-87953,لدى التواصل الاجتماعي تأثير قوي لدى الشعب وأصبحنا لا يمكننا العيش بدونه حيث أصبح جميع الناس من كل النواحي لديهم هاتف محمول وإلكترونيات ومنها الأكثر.
AR-030-89249-1,AR-030-89249,يعتبر التسامح النوعية الجيدة ومن الضروري لنا كمجتمع، وفي هذا المجتمع يبدو أن معدل التسامح انخفض مع مرور الأيام، الناس لا يحبون رأي الآخرين وحتى في تفكيرهم، يجب تطوير التسامح في مجتمعنا، حاليا اعط فرصة للآخرين لتطوير أنفسهم.
AR-030-89249-2,AR-030-89249,التسامح هو الشيء الرئيسي في التعليم لأي شخص، التفكير بما يفعلونه يخلق صراعات بينهم والنقاشات في الأشياء الصغيرة ليس لها ضرورة، التسامح يجب أن يكون لنا واجبا فهو يمثل شخصيتك وأسلوبك وهذا السلوك لا يخلق شخصا مثاليا بل يحفز الآخرين أيضا على التسامح مع الآخرين، يجب أن يأخذ دورا كبيرا في مجتمعنا لهذه الأسباب.
AR-030-89881-1,AR-030-89881,في عصرنا هذا أصبح التواصل الاجتماعي شيئا أساسيا نستخدمه بشكل يومي.
AR-030-89881-2,AR-030-89881,للتواصل الاجتماعي الكثير من الإيجابيات والسلبيات التي أثرت على حياتنا بشكل ملحوظ.
AR-030-89881-3,AR-030-89881,من إيجابيات التواصل الاجتماعي أنه عمل على تسهيل التواصل بين البشر وجعلنا نتعلم ونتعرف على ثقافات مختلفة.
AR-030-90528-1,AR-030-90528,التواصل الاجتماعي له أثر جدا كبير في مجتمعنا الحالي.
AR-030-90528-2,AR-030-90528,الإنترنت غير الإنسان بشكل غير طبيعي، وفي رأيي غير الإنسان للأسوأ لأنه مشغول طوال اليوم يتواصل مع الناس ولم يكن لديه أي وقت فراغ ليجلس مع أهله وعائلته.
AR-030-90528-3,AR-030-90528,"لم أنكر فيه إيجابيات كثيرة مثل تمكن الإنسان من التواصل مع فرد خارج الدولة وممكن أيضا أن يبحث عن معلومات في ""جوجل"" ليساعده في مثلا واجب."
AR-030-90528-4,AR-030-90528,المجتمع تحسن بسبب التواصل الاجتماعي في التكنولوجيا الذي ساعد في تطور الدولة والعالم، والفرد يريد أن يطور مجتمعه وليطور مجتمع يحتاج إلى التواصل الاجتماعي لكي يعرف المجتمع إلى أي حد مطور ليعمل شيئا جديدا وغير مألوف لأن بهذه الطريقة المجتمع سيتطور إلى الأفضل.
AR-030-90528-5,AR-030-90528,"فيه طرف ثان للتواصل الاجتماعي مثل ""إنستجرام"" و ""تويتر"" و ""سنابتشات""، هذه البرامج يستخدمونها ليتواصلوا مع أصدقائهم وأحبائهم وممكن أن يرسلوا صورا أو فيديو لبعضهم ليعرفوا أخبار بعض."
AR-030-90528-6,AR-030-90528,هذا الشيء جيد إذا استخدموه بالطريقة الصحيحة وإذا استخدموه بطريقة خاطئة سيفسد المجتمع بشكل كبير وخاطئ.
AR-030-92524-1,AR-030-92524,خلق الله تعالى هذه الأمم والشعوب للتعارف والتفاهم والتصالح مع بعضهم البعض.
AR-030-92524-2,AR-030-92524,التسامح شيء مهم في حياتنا اليومية والدينية، وللتسامح العديد من الفوائد منها تعريف الناس على بعضهم البعض وعلى الثقافات والحضارات والعلوم الموجودة لدى الآخرين.
AR-030-92524-3,AR-030-92524,وقد يتسبب التسامح بشعور الأمن والأمان.
AR-030-92524-4,AR-030-92524,يعتقد الكثير من الناس أن التطور هو استخدام كل ما هو جديد أو حديث ولكن مفهوم التطور هو استكشاف أشياء موجودة قديمة تنفع للمستقبل والقيام بإعادة صناعتها لكي تبقى صامدة.
AR-030-92524-5,AR-030-92524,التطور الحضاري في دولة الإمارات بدأ من اكتشاف المواهب الموجودة في أفراد المجتمع وتعزيزهم في إظهارها للدولة للإستفادة منها، ومن هذا الشيء بدأت دولة الإمارات بالتطور ومساعدة الدول الأخرى.
AR-030-92524-6,AR-030-92524,ما يتميز به العصر الحديث هو التقدم الكبير في تكنولوجيا الاتصال والتواصل.
AR-030-92524-7,AR-030-92524,ظهرت هذه الوسائل كإنجاز حضاري استنتجته العقول الذكية العملاقة.
AR-030-92524-8,AR-030-92524,لقد أثرت التكنولوجيا على العالم بأكمله.
AR-030-92524-9,AR-030-92524,لدى التكنولوجيا العديد من السلبيات والإيجابيات ولكن الكثير من السلبيات علينا أن لا نهملها أو نتجاهلها، وإنها مدخل مناسب للأعداء لتتبع الشباب ومتابعة أنشطتهم المختلفة.
AR-030-92524-10,AR-030-92524,وإن التكنولوجيا مكان مناسب للتخطيط لنشر الجريمة والتطرف أحيانا.
AR-030-92800-1,AR-030-92800,يجب على كل فرد أن يساهم في التسامح وحث الآخرين على هذا التصرف الإيجابي.
AR-030-92800-2,AR-030-92800,على المجتمع أن يعزز من ثقافة التسامح في المجتمع من خلال اطلاع الناس على مدى أهمية هذا الشيء.
AR-030-92800-3,AR-030-92800,إن دولة الإمارات تشهد أكبر تطور حضاري لم تشهد مثله من قبل.
AR-030-92800-4,AR-030-92800,وتتم وسائل التواصل الاجتماعي بالتأثير على الفرد والمجتمع.
AR-030-93360-1,AR-030-93360,تسامحوا تسامحوا: لا شك كل إنسان يخطو على هذه الأرض قد مر من قبل بمواقف كثيرة يقشعر لبعضها البدن وبعضها قد يكون بنظره لا تغتفر، في حين أن البعض الآخر قد لا يلقي لها بالا أو يرى أنها أتفه من أن تجعله يتجاهل وجود شخص ما...
AR-030-93360-2,AR-030-93360,وهنا يأتي الأمر، فتكون المعضلة في الشخص نفسه وفي كيف سيختار ما سيتصرف به وما إذا كان سيسامح أم لا.
AR-030-93360-3,AR-030-93360,لقد حثنا الدين الإسلامي البليغ على ثقافة التسامح ورفع من شأنه، ولعل أول سبب يجعلنا لا نتهاون فيه هو أن القطيعة لمدة تزيد عن ثلاثة أيام تضعنا تحت خطر جسيم، وهو أن أعمالنا لا ترفع ولا تقبل حتى تنهى هذه القطيعة، فبالنسبة لي هذا السبب أكثر من كاف حتى أسامح غيري.
AR-030-93360-4,AR-030-93360,فلو حاولنا أن نكون متسامحين يمكننا بذلك أن نكون قدوة لغيرنا، كما أن نشر الوعي بشأن هذا الأمر سيعزز من ثقافة التسامح في المجتمع خصيصا لو رأى الناس أن هذا الأمر وهو (‪@@‬ المسامحة) أصبح شائعا في أحيائهم سينساقون خلفه لا شعوريا، فمن عاشر قوما أصبح مثلهم.
AR-030-93360-5,AR-030-93360,ختاما علينا أن لا ننسى كم من الأخطاء التي ارتكبناها في حياتنا والتي ربما لا زلنا نستمر في ارتكابها، ولكن يظل الله يسامحنا عليها، فسامحوا من في الأرض...
AR-030-93360-6,AR-030-93360,يسامحكم من في السماء.
AR-030-96339-1,AR-030-96339,ما يتميز به العصر الحديث هو التقدم في التكنولوجيا، وصفات التواصل الاجتماعي متعددة في أنواع وأشكال التكنولوجيا المتطورة أكثر.
AR-030-96339-2,AR-030-96339,توجد أضرار كبيرة في التواصل الاجتماعي وهي الانشغال عن أداء بعض الواجبات سواء الأسرية أو في جوانب أداء العمل الوظيفي المختلفة.
AR-030-96339-3,AR-030-96339,ويوجد ضرر كبير مثل أنه مدخل لنشر ثقافة الانحلال الخلقي والفساد المجتمعي وعدم الثقة وهو عبارة عن مجتمع مفتوح أمام كل المجتمعات، وتكون أحيانا فيه فرصة قوية لنشر الإشاعات وترويجها.
AR-030-96339-4,AR-030-96339,وفي مختلف جوانب الحياة وليس فقط التواصل الاجتماعي توجد فيه أضرار بل توجد فيه فوائد كثيرة ومنها تبادل الخبرات الحياتية في مجالات الحياة المتعددة والمعلومات الهامة من مصادرها التي توفرها من خلال تسجيلات الإعجاب والتابعة لبعضها، وتفسح المجال أمام الإبداع في رسم اجتهادات فكرية وثقافية وسياسية معينة.
AR-030-96339-5,AR-030-96339,وإن وسائل التواصل الاجتماعي هي منجزات حضارية عظيمة، والإنسان وحده الذي يملك طريقة الاستفادة منها.
AR-030-96683-1,AR-030-96683,وسائل التواصل الاجتماعي شهد العالم في القرن السابق تطورات عدة ومنها بدأت وسائل التواصل الاجتماعي في قرننا هذا في الانتشار.
AR-030-96683-2,AR-030-96683,وبدأت تزيد أهميتها يوما بعد يوم وبدا تأثيرها واضحا على الفرد والمجتمع كثيرا، كما أنه بدا بكونه شيئا فائق الأهمية في بيوتنا وعصرنا هذا.
AR-030-96683-3,AR-030-96683,لكن هناك تأثيرات سلبية وإيجابية للمجتمع والفرد.
AR-030-96683-4,AR-030-96683,كما ذكرت سابقا أن لوسائل التواصل الاجتماعي إيجابيات منها: سهولة التواصل بين المجتمع والفرد.
AR-030-96683-5,AR-030-96683,مثلا تواصل الفرد من مكان بعيد بشخص أو مجموعة أناس يعيشون في بلدة أو مكان آخر.
AR-030-96683-6,AR-030-96683,والفرد يمكنه تزويد نفسه بالمعلومات المهمة وإجراء بحوث عن طريق التواصل الاجتماعي.
AR-030-96683-7,AR-030-96683,أما الجانب السلبي للمجتمع قد تبدأ خلافات بينهم بسبب وسائل التواصل الاجتماعي وكلام غير صحيح أو أن تكون إشاعة.
AR-030-96683-8,AR-030-96683,وتنتشر هذه الإشاعة في المجتمع أسرع بسبب سهولة التواصل وتداول المعلومات في وسائل التواصل الاجتماعي.
AR-030-96683-9,AR-030-96683,وأيضا قد تكون هناك عمليات نصب أكثر في هذه الوسائل بسبب سهولة البقاء مجهولا وراء الشاشة.
AR-030-97791-1,AR-030-97791,لقد وقعت الكثير من التطورات الحضارية من قبل هؤلاء الناس العباقرة الذين أتوا إلينا من جميع نواحي الدول وعززوا دولة الإمارات.
AR-030-97791-2,AR-030-97791,فقد قدموا إلينا جميع احتياجاتنا، وكل ما أردناه هو مجتمعا آمنا وخال من المشاكل والمتاعب.
AR-030-97791-3,AR-030-97791,قدمت لنا دولة الإمارات العربية المتحدة أولا مكانا آمنا، وهو سبب من الأسباب لماذا الناس يأتون من دول أخرى بعيدة إلى هنا، فقد بنوا لنا أفخر المطاعم وأعلى المدارس والجامعات، أيضا وفروا لنا شوارع وطرقا منظمة وقوانين تطبق لكل شخص متاح في دولة الإمارات العربية المتحدة.
AR-030-97791-4,AR-030-97791,أتت هذه الأفكار الخلابة والمذهلة من كل دولة ممكنة.
AR-030-97791-5,AR-030-97791,ومن الأكيد دولتنا فعلت الكثير من البحوثات وذهبت إلى أماكن أخرى لاستكشاف العالم بأكمله والتمكن من الاستطلاع لأفكار وطريقة بنائها بطريقة فريدة ومثالية، فهذا يستغرق الكثير من الوقت والجهد.
AR-030-97791-6,AR-030-97791,فأنا فخورة جدا بكوني إماراتية.
AR-130-119813-1,AR-130-119813,التواصل الاجتماعي له سلبيات وإيجابيات لكن قد يؤثر بطريقة سلبية أكثر على الفرد.
AR-130-119813-2,AR-130-119813,الكثير من الناس يستخدمون التواصل الاجتماعي بطريقة خاطئة.
AR-130-119813-3,AR-130-119813,يقتبس الفرد الكثير من التواصل الاجتماعي ويتأثر وقد يؤثر عليه بطريقة خاطئة كما ذكرنا.
AR-130-119831-1,AR-130-119831,فيه عديد من الناس كانت ثقافتهم سيئة، ما كانوا منضمين لمجتمع وفيه بعضهم مع ناس.
AR-130-119831-2,AR-130-119831,الحياة هي أصلا حياة الإنسان، كيف يعيش على الأرض، هذا واجب علينا أن نتعامل معهم [INCOMPLETE]
AR-130-121991965-1,AR-130-121991965,لوسائل التواصل الاجتماعي تأثير على الفرد والمجتمع، منها تأثير إيجابي ومنها سلبي.
AR-130-121991965-2,AR-130-121991965,تأثير التواصل الاجتماعي السلبي على الفرد: هو أن الفرد يستخدمه بطريقة غير لائقة تسبب له المشاكل والأمراض، ونقصد بالأمراض أن الفرد أصبح لا يريد التحرك أو الخروج خارج المنزل أو ممارسة الرياضة، أصبح فقط يريد الأكل واستخدام وسائل التواصل الاجتماعي.
AR-130-121991965-3,AR-130-121991965,أما بالنسبة للجانب الإيجابي هو أن الفرد يستطيع أن يستخدم هذه الوسائل للدراسة أو التواصل مع أحد المدرسين للاستفسار عن سؤال أو التواصل مع شخص عزيز مقرب أو بعيد عنه.
AR-130-121991965-4,AR-130-121991965,كما أنها من الممكن أن تقرب علاقة الأفراد ببعضهم.
AR-130-121991965-5,AR-130-121991965,أما بالنسبة لتأثيرها على المجتمع فهي تنمي المجتمع وترقيه.
AR-130-165859-1,AR-130-165859,وسائل التواصل الاجتماعي بات يستخدمها الصغير والكبير.
AR-130-165859-2,AR-130-165859,هي عالم آخر يلجأ إليه الفرد ليقضي فيه بعض الوقت.
AR-130-165859-3,AR-130-165859,لكنها سلاح ذو حدين قد يفيد من يحسن استخدامه في التواصل مع الأصدقاء والتطلع إلى آخر الأخبار وقد يستخدمه البعض للتجارة وربح الأموال.
AR-130-165859-4,AR-130-165859,ولكن هناك سلبيات كثيرة لمن يسيء استخدامه ويؤدي إلى ضياعه.
AR-130-165859-5,AR-130-165859,على سبيل المثال إدمان هذه المواقع يؤدي إلى كوارث على الفرد ذاته والمجتمع أيضا، مثل مشاكل الطلاق والتشتت الأسري وأيضا ضياع الأبناء لعدم رقابة الوالدين.
AR-130-165859-6,AR-130-165859,وضياع الأسرة من ضياع المجتمع لأن الأسرة السليمة هي الأساس لبناء مجتمع سليم.
AR-130-165949-1,AR-130-165949,ثقافة التسامح تعتبر ثقافة التسامح من أهم الثقافات التي يجب تعزيزها في كل المجتمعات سواء كانت عربية أو أجنبية.
AR-130-165949-2,AR-130-165949,وقد حرصت دولة الإمارات العربية المتحدة على غرس ثقافة التسامح بين أبناء شعبها من خلال إطلاق اسم عام التسامح على عام ٢٠١٩.
AR-130-165949-3,AR-130-165949,ومن خلال هذه المبادرة تم عمل محاضرات وتجمعات وملتقيات لنشر ثقافة التسامح ولتعريف أبناء الشعب عليها أكثر.
AR-130-165949-4,AR-130-165949,وقد ساهمت هذه الطرق في نشر ثقافة التسامح أكثر وتعزيزها بين الشعب الإماراتي، وساهمت في تشجيع كل مواطن على نشر هذه الثقافة بين أفراد أسرته والبيئة المحيطة به عن طريق تعليمهم ما قد تعلمه عن ثقافة التسامح في الملتقيات والمحاضرات التي حضرها من قبل.
AR-130-165949-5,AR-130-165949,أيضا من الطرق الأخرى التي تساعد الناس على تعزيز ثقافة التسامح فيهم هي الاقتداء برسولنا الكريم محمد صلى الله عليه وسلم، فهو قدوتنا في التسامح والصفح والعفو.
AR-130-165949-6,AR-130-165949,فيجب على المرء أن يحتسب الأجر ويسامح ويعفو عند المقدرة.
AR-130-168718-1,AR-130-168718,تعتمد الكثير من المؤسسات والدوائر الحكومية في دولة الإمارات على نشر آخر أخبارها وعن احتياجاتها لموظفين عبر برامج التواصل الإلكتروني المنوعة، فيجبر أفراد المجتمع على وجودهم في ساحة برامج التواصل الاجتماعي ليطلعوا على آخر الأخبار والمستجدات التي تمر بها دولتهم.
AR-130-168718-2,AR-130-168718,تؤثر وسائل التواصل الاجتماعي على الأفراد والمجتمع بطرق إيجابية وسلبية في آن واحد.
AR-130-168718-3,AR-130-168718,من إيجابيات وسائل التواصل الاجتماعي على الفرد والمجتمع أنها تبقيهم على استطلاع دائم بآخر الأخبار والمستجدات.
AR-130-168718-4,AR-130-168718,وأيضا تبقي المجتمعات في تواصل دائم ومناقشة بعض القضايا التي يمر بها مجتمعنا وعرض الأسباب والتوصل إلى حلول لهذه المشاكل.
AR-130-168718-5,AR-130-168718,وتؤثر أيضا هذه الوسائل بطرق سلبية على مجتمعنا من نواح عدة.
AR-130-168718-6,AR-130-168718,أولا يبقى الفرد منشغلا مع نفسه بجهازه أو حاسوبه الخاص بعيدا عن أهله وأصحابه.
AR-130-168718-7,AR-130-168718,يشتكي كثير من أولياء الأمور والآباء من انشغال أبنائهم بهذه البرامج سواء انشغال في شيء جيد أم سيئ.
AR-130-168718-8,AR-130-168718,تؤثر هذه البرامج أيضا على المجتمع من ناحية أنهم يبقون على تواصل داخل برامج التواصل فقط ليس خارجها.
AR-130-168718-9,AR-130-168718,أرى أن وسائل التواصل الاجتماعي جيدة ومفيدة إذا استخدمها الفرد والمجتمع بحدود، ولا ينسى أن لأهله ونفسه ولمجتمعه حقا عليه بعيدا عن هذه البرامج.
AR-130-186196-1,AR-130-186196,أصبحت وسائل التواصل الاجتماعي وتأثيرها على الفرد والمجتمع تأثيرا قويا مما أدى ببعض المراهقين للإدمان على التواصل الاجتماعي وينتج عن ذلك الإصابة بالمرض النفسي.
AR-130-186196-2,AR-130-186196,أصبح الناس لا يبالون بالوقت الذي يقضونه على الإنترنت أو البرامج الاجتماعية وأدى الأمر إلى الانقطاع عن الأرحام أو بالأحرى الانقطاع عن العالم.
AR-130-186196-3,AR-130-186196,التواصل الاجتماعي لديه تأثيران على الشخص؛
AR-130-186196-4,AR-130-186196,تأثير إيجابي وتأثير سلبي.
AR-130-186196-5,AR-130-186196,التأثير الإيجابي للشخص هو أن الشخص قادر على التواصل مع أفراد أسرته أو أصدقائه في جميع أنحاء العالم، وأيضا يمكنه تعلم الأشياء المفيدة بالتواصل الاجتماعي أو جمع معلومات جيدة ومفيدة من التواصل الاجتماعي.
AR-130-186196-6,AR-130-186196,التأثير السلبي على الفرد هو أن الجميع الآن منقطع عن زيارة الأصدقاء أو الأهل والكل منطو في غرفته بعيدا عن أفراد الأسرة وذلك ينتج توحد الشخص وكرهه لحضور مناسبات عائلية أو مناسبة لأصدقائه.
AR-130-186196-7,AR-130-186196,التأثير السلبي الثاني هو أن التواصل الاجتماعي يؤدي إلي إدمان بعض الأشياء مثل المخدرات أو الكحول أو غير ذلك، وذلك يحدث من بيع المخدرات في مواقع التواصل الاجتماعي.
AR-130-186196-8,AR-130-186196,أحيانا يتعرض الفرد إلى المساءلة القانونية بسبب التواصل الاجتماعي لأنه انطبقت قوانين في بعض الدول لعدم الشتم أو التنمر وذلك يعرضك لمساءلة قانونية أو السجن والغرامة.
AR-130-187968-1,AR-130-187968,في الآونة الأخيرة ظهرت وسائل التواصل الاجتماعي بشكل مفرط وأثرت على الكثير من الناس والعوائل وربما أثرت على بعض الناس بطريقة إيجابية وبعضهم بطريقة سلبية.
AR-130-187968-2,AR-130-187968,وأثرت على المراهقين بطريقة سلبية جدا لأنهم طوال الوقت وهم على الأجهزة الإلكترونية، وبات الناس الآن فقط يتواصلون بالأجهزة وصاروا يتجنبون التجمعات العائلية - وهذا فعل خاطئ - وحتى في تجمعاتهم يتواصلون بالأجهزة، والآن بات التواصل قليلا جدا وكل شيء صار بالتواصل الاجتماعي.
AR-130-187968-3,AR-130-187968,في الماضي في كل مناسبة كانت العوائل تتجمع وتدردش مع بعضها البعض والأطفال يلعبون في الخارج، أما الآن فالأطفال جالسون ولا يعرفون شيئا غير الإلكترونيات، وهذا الفعل ينتج أمراضا مزمنة مثل السمنة وأمراض القلب فقط لأنهم لا يريدون فعل شيء غير الجلوس.
AR-130-187968-4,AR-130-187968,وأيضا مواقع التواصل الاجتماعي لها تأثير سلبي على التحصيل الدراسي للمدرسة فقط لأنهم لا يريدون فتح مخهم، يريدون الأشياء الجاهزة.
AR-130-187968-5,AR-130-187968,وأيضا له تأثير إيجابي على المجتمع وصار التواصل أسهل للذين يعملون، صار أسهل للمدراء للتواصل مع الموظفين.
AR-130-187968-6,AR-130-187968,والجميع صاروا يذكرون بعضهم من خلال التواصل وهو شيء جيد، وأيضا في المستشفيات والمواعيد وفي كل شيء التواصل بات أسهل على الجميع.
AR-130-187968-7,AR-130-187968,يجب على الناس معرفة كيفية استخدام الوسائل ويجب عليهم تعليم الصغار والكبار كيفية التواصل بطريقة صحيحة وليس طوال الوقت، ويجب عليهم التفريق في كيفية استخدامه إلا إذا كان ضروريا.
AR-130-187968-8,AR-130-187968,وعلى أولياء الأمور تعليم أبنائهم الطريقة الصحيحة وأيضا أضرار البرامج والجلوس عليها طويلا.
AR-130-187968-9,AR-130-187968,وفي النهاية الوسائل لها سلبيات وإيجابيات وعلى الجميع التفريق بينها.
AR-130-188359-1,AR-130-188359,التواصل الاجتماعي الآن من أحد أكثر المواضيع الأكثر جدلا في وقتنا الحالي.
AR-130-188359-2,AR-130-188359,التواصل الاجتماعي له الكثير من التأثير على المجتمع والفرد.
AR-130-188359-3,AR-130-188359,تأثيره على الفرد يسبب الوحدة والكآبة للفرد وفي بعض الأحيان العنف.
AR-130-188359-4,AR-130-188359,تأثيره على المجتمع يجعل هناك ثغرة بين العائلة والفرد وبين الأشخاص.
AR-130-188826-1,AR-130-188826,لقد شكلت مواقع التواصل الاجتماعي دورا كبيرا في تطوير مجتمعنا الحالي وأثرت على الفرد بشكل ملحوظ من خلال التجارة والدراسة والطب، واستفتحت العديد من مجالات التواصل عبر الحاسوب والشاشة النقالة، وجعل ذلك سهولة في التواصل مع خارج الدولة وداخلها عن طريق إرسال الرسائل النصية أو تسجيل الصوت أو الصورة.
